data,n,m
POWER,10000,0
EIGENCLS,2652,0
NONDIA,5000,0
RAT43LS,4,0
HIELOW,3,0
GAUSS3LS,8,0
FLETCHBV,5000,0
PARKCH,15,0
DENSCHNC,2,0
FLETCBV2,5000,0
BDQRTIC,5000,0
LANCZOS1LS,6,0
DIXMAANO,3000,0
PRICE3,2,0
LRW8A,300,0
LUKSAN21LS,100,0
BROYDN7D,5000,0
PRICE4,2,0
YATP1LS,123200,0
PALMER6C,8,0
SROSENBR,5000,0
FLETCBV3,5000,0
POWERSUM,4,0
STRATEC,10,0
LRIJCNN1,22,0
CYCLOOCFLS,29996,0
EXPFIT,2,0
BA-L21LS,34134,0
EGGCRATE,2,0
SCURLY20,10000,0
MEYER3,3,0
GENHUMPS,5000,0
WAYSEA2,2,0
INTEQNELS,502,0
MISRA1BLS,2,0
PALMER1D,7,0
DENSCHNF,2,0
SENSORS,100,0
YATP2LS,123200,0
SSI,3,0
HILBERTA,2,0
NELSONLS,3,0
ARGLINA,200,0
HILBERTB,10,0
HYDCAR6LS,29,0
GENROSE,500,0
FMINSURF,5625,0
DIXMAANE1,3000,0
PALMER5D,4,0
CUBE,2,0
VARDIM,200,0
NONCVXU2,5000,0
LOGHAIRY,2,0
DMN15333LS,99,0
DQRTIC,5000,0
KOWOSB,4,0
LUKSAN14LS,98,0
HELIX,3,0
BEALE,2,0
COSINE,10000,0
FBRAIN3LS,6,0
ROSZMAN1LS,4,0
COOLHANSLS,9,0
GAUSS1LS,8,0
CERI651ELS,7,0
VESUVIOULS,8,0
TRIGON2,10,0
DIXMAANC,3000,0
LRA9A,123,0
BROWNBS,2,0
CURLY10,10000,0
DIXMAANA1,3000,0
JUDGEB,2,0
BOXBODLS,2,0
TOINTQOR,50,0
DIXMAANG,3000,0
TOINTGSS,5000,0
SPARSINE,5000,0
MISRA1DLS,2,0
OSBORNEA,5,0
FLETCHCR,1000,0
DIXMAANK,3000,0
BA-L52LS,192627,0
HAIRY,2,0
BARD,3,0
BROYDNBDLS,5000,0
DIXMAANN,3000,0
HAHN1LS,7,0
GROWTHLS,3,0
NCB20B,5000,0
SISSER,2,0
PALMER5C,6,0
VIBRBEAM,8,0
DANWOODLS,2,0
LUKSAN11LS,100,0
MNISTS5LS,494,0
DJTL,2,0
PALMER4C,8,0
TRIDIA,5000,0
BIGGS6,6,0
ERRINRSM,50,0
SNAIL,2,0
LUKSAN15LS,100,0
WOODS,4000,0
SPMSRTLS,4999,0
SPINLS,1327,0
CRAGGLVY,5000,0
MARATOSB,2,0
CERI651ALS,7,0
DQDRTIC,5000,0
GAUSS2LS,8,0
MOREBV,5000,0
PALMER3C,8,0
HEART6LS,6,0
LANCZOS2LS,6,0
NONMSQRT,4900,0
SCHMVETT,5000,0
NONDQUAR,5000,0
DEVGLA1,4,0
EIGENALS,2550,0
RAT42LS,3,0
DIXON3DQ,10000,0
BOXPOWER,20000,0
ENGVAL2,3,0
ENSOLS,9,0
OSCIPATH,500,0
SCURLY30,10000,0
HIMMELBH,2,0
BOX,10000,0
FLETBV3M,5000,0
TRIGON1,10,0
ARGTRIGLS,200,0
JENSMP,2,0
RECIPELS,3,0
BROWNAL,200,0
VESUVIOLS,8,0
NONCVXUN,5000,0
OSBORNEB,11,0
DIXMAANI1,3000,0
TOINTPSP,50,0
HUMPS,2,0
METHANL8LS,31,0
ARWHEAD,5000,0
VESUVIALS,8,0
ELATVIDU,2,0
HATFLDE,3,0
TESTQUAD,10,0
LUKSAN16LS,100,0
MUONSINELS,1,0
DIXMAANL,3000,0
ARGLINC,200,0
BA-L73LS,33753,0
KIRBY2LS,5,0
MSQRTBLS,1024,0
DMN15332LS,66,0
BA-L1SPLS,57,0
LUKSAN17LS,100,0
ZANGWIL2,2,0
SCURLY10,10000,0
DENSCHNA,2,0
INDEFM,100000,0
ROSENBR,2,0
PALMER8C,8,0
HIMMELBB,2,0
