data,n,m
POWER,10000,0
EIGENCLS,2652,0
NONDIA,5000,0
FLETCHBV,5000,0
FLETCBV2,5000,0
BDQRTIC,5000,0
DIXMAANO,3000,0
BROYDN7D,5000,0
YATP1LS,123200,0
SROSENBR,5000,0
FLETCBV3,5000,0
CYCLOOCFLS,29996,0
BA-L21LS,34134,0
SCURLY20,10000,0
GENHUMPS,5000,0
YATP2LS,123200,0
FMINSURF,5625,0
DIXMAANE1,3000,0
NONCVXU2,5000,0
DQRTIC,5000,0
COSINE,10000,0
DIXMAANC,3000,0
CURLY10,10000,0
DIXMAANA1,3000,0
DIXMAANG,3000,0
TOINTGSS,5000,0
SPARSINE,5000,0
FLETCHCR,1000,0
DIXMAANK,3000,0
BA-L52LS,192627,0
BROYDNBDLS,5000,0
DIXMAANN,3000,0
NCB20B,5000,0
TRIDIA,5000,0
WOODS,4000,0
SPMSRTLS,4999,0
SPINLS,1327,0
CRAGGLVY,5000,0
DQDRTIC,5000,0
MOREBV,5000,0
NONMSQRT,4900,0
SCHMVETT,5000,0
NONDQUAR,5000,0
EIGENALS,2550,0
DIXON3DQ,10000,0
BOXPOWER,20000,0
SCURLY30,10000,0
BOX,10000,0
FLETBV3M,5000,0
NONCVXUN,5000,0
DIXMAANI1,3000,0
ARWHEAD,5000,0
DIXMAANL,3000,0
BA-L73LS,33753,0
MSQRTBLS,1024,0
SCURLY10,10000,0
INDEFM,100000,0
SPARSQUR,10000,0
MODBEALE,20000,0
BA-L49LS,23769,0
QUARTC,5000,0
EG2,1000,0
YATP2CLS,123200,0
KSSLS,1000,0
ENGVAL1,5000,0
INDEF,5000,0
POWELLSG,5000,0
SINQUAD,5000,0
CURLY20,10000,0
JIMACK,3549,0
EDENSCH,2000,0
PENALTY1,1000,0
MSQRTALS,1024,0
EIGENBLS,2550,0
DIXMAANB,3000,0
FREUROTH,5000,0
EXTROSNB,1000,0
TQUARTIC,5000,0
DIXMAANF,3000,0
SCOSINE,5000,0
DIXMAANJ,3000,0
SBRYBND,5000,0
DIXMAANH,3000,0
DIXMAANM1,3000,0
NCB20,5010,0
CURLY30,10000,0
BROYDN3DLS,5000,0
FMINSRF2,5625,0
SSCOSINE,5000,0
BA-L16LS,66462,0
SSBRYBND,5000,0
LIARWHD,5000,0
CHAINWOO,4000,0
OSCIGRAD,100000,0
YATP1CLS,123200,0
DIXMAANP,3000,0
BRYBND,5000,0
DIXMAAND,3000,0
VAREIGVL,5000,0
