data,n,m
POWER,10000,0
NONDIA,5000,0
FLETCBV2,5000,0
BDQRTIC,5000,0
DIXMAANO,3000,0
BROYDN7D,5000,0
SROSENBR,5000,0
FLETCBV3,5000,0
GENHUMPS,5000,0
ARGLINA,200,0
GENROSE,500,0
CUBE,2,0
VARDIM,200,0
NONCVXU2,5000,0
DQRTIC,5000,0
COSINE,10000,0
CURLY10,10000,0
DIXMAANG,3000,0
TOINTGSS,5000,0
SPARSINE,5000,0
FLETCHCR,1000,0
DIXMAANK,3000,0
DIXMAANN,3000,0
NCB20B,5000,0
WOODS,4000,0
SPMSRTLS,4999,0
CRAGGLVY,5000,0
MOREBV,5000,0
SCHMVETT,5000,0
NONDQUAR,5000,0
BROWNAL,200,0
NONCVXUN,5000,0
ARWHEAD,5000,0
DIXMAANL,3000,0
ARGLINC,200,0
SPARSQUR,10000,0
PENALTY2,200,0
ENGVAL1,5000,0
INDEF,5000,0
POWELLSG,5000,0
SINQUAD,5000,0
CURLY20,10000,0
CHNROSNB,50,0
EDENSCH,2000,0
PENALTY1,1000,0
ERRINROS,50,0
FREUROTH,5000,0
EXTROSNB,1000,0
TQUARTIC,5000,0
ARGLINB,200,0
DIXMAANF,3000,0
SCOSINE,5000,0
DIXMAANJ,3000,0
SBRYBND,5000,0
DIXMAANH,3000,0
NCB20,5010,0
CURLY30,10000,0
LIARWHD,5000,0
CHAINWOO,4000,0
PENALTY3,200,0
DIXMAANP,3000,0
BRYBND,5000,0
